mwig_40_id,name_index,ticker,kurs,zmiana,zmiana_pr,wplyw_na_indeks,udział_w_obrocie,pakiet,udział_portfel
1,11BIT,11B,434.50,-13.50,-3.01,-0.05,7.2400,2007000,1.55
2,AMICA,AMC,145.00,1.00,0.69,0.01,0.3800,5057000,1.30
3,AMREST,EAT,46.40,-0.60,-1.28,-0.08,1.4700,72350000,5.97
4,ASSECOPOL,ACP,65.65,-1.20,-1.80,-0.12,4.9000,55869000,6.52
5,BENEFIT,BFT,950.00,0.00,0.00,0.00,0.9800,1365000,2.31
6,BNPPPL,BNP,68.20,-1.40,-2.01,-0.04,0.1300,16568000,2.01
7,BOGDANKA,LWB,33.20,-0.80,-2.35,-0.02,0.5100,11564000,0.68
8,BORYSZEW,BRS,4.57,-0.08,-1.72,-0.01,0.8500,83167000,0.68
9,BUDIMEX,BDX,186.60,-3.40,-1.79,-0.07,1.5600,11451000,3.80
10,CIECH,CIE,38.60,0.00,0.00,0.00,4.8300,25747000,1.77
11,CIGAMES,CIG,0.82,-0.02,-2.51,0.00,1.3300,109279000,0.16
12,CLNPHARMA,CLN,45.00,-1.50,-3.23,-0.04,1.5500,14996000,1.20
13,COMARCH,CMR,201.00,-2.00,-0.99,-0.02,1.0800,4954000,1.77
14,DEVELIA,DVL,2.61,-0.02,-0.95,-0.02,4.0700,447558000,2.08
15,ECHO,ECH,5.23,-0.04,-0.76,-0.01,0.3000,181759000,1.69
16,ENEA,ENA,7.32,-0.14,-1.81,-0.05,2.9400,214078000,2.79
17,ENERGA,ENG,7.45,-0.05,-0.67,-0.02,1.6100,200740000,2.66
18,EUROCASH,EUR,19.80,-0.70,-3.41,-0.09,10.0300,77875000,2.74
19,FAMUR,FMF,3.44,-0.06,-1.57,-0.03,0.4200,302904000,1.86
20,FORTE,FTE,32.80,3.30,11.19,0.11,2.1400,16166000,0.94
21,GETIN,GTN,1.50,-0.07,-4.46,-0.01,1.1100,85450000,0.23
22,GPW,GPW,42.60,-0.40,-0.93,-0.02,4.7600,27199000,2.06
23,GRUPAAZOTY,ATT,26.50,-1.08,-3.92,-0.09,5.1800,46803000,2.21
24,GTC,GTC,9.22,-0.24,-2.54,-0.08,1.0700,186980000,3.07
25,HANDLOWY,BHW,56.10,-0.10,-0.18,-0.01,3.7000,32664000,3.26
26,INGBSK,ING,204.50,-0.50,-0.24,-0.02,1.2500,27775000,10.10
27,INTERCARS,CAR,234.00,3.00,1.30,0.05,0.7000,8415000,3.50
28,KERNEL,KER,48.10,-0.05,-0.10,0.00,0.4900,38691000,3.31
29,KETY,KTY,347.00,-1.00,-0.29,-0.02,1.1300,9569000,5.91
30,KRUK,KRU,160.60,0.60,0.37,0.02,3.6700,17043000,4.87
31,LIVECHAT,LVC,47.35,-0.15,-0.32,0.00,3.1000,13620000,1.15
32,MABION,MAB,67.50,-3.60,-5.06,-0.05,2.8800,8276000,0.99
33,MILLENNIUM,MIL,5.91,-0.13,-2.15,-0.14,3.4000,605345000,6.36
34,ORBIS,ORB,115.00,1.00,0.88,0.01,0.1400,6526000,1.33
35,PKPCARGO,PKP,19.84,-0.16,-0.80,-0.01,0.4600,30002000,1.06
36,PLAYWAY,PLW,261.00,-4.50,-1.69,-0.01,4.5900,1200000,0.56
37,STALPROD,STP,201.00,-2.00,-0.99,-0.01,0.4500,1810000,0.65
38,TSGAMES,TEN,258.50,-10.00,-3.72,-0.04,10.8200,2637000,1.21
39,VRG,VRG,3.90,0.08,1.96,0.02,0.4000,165364000,1.15
40,WIRTUALNA,WPL,81.00,-1.40,-1.70,-0.04,2.4000,17680000,2.55
